spike times	Vanne1 ON	Vanne1 OFF
1.4023	30.0208	30.2209
8.9147	90.2224	92.2227
8.9446	152.2249	152.2450
11.1312	212.2465	212.4464
27.9454	272.4490	274.4493
27.9561	334.4506	334.4708
30.0344	394.4733	394.6734
30.0377	454.6749	456.6752
30.0406	516.6776	516.6977
30.0434	576.6989	576.8991
30.0461	636.9015	638.9018
30.0487	698.9033	698.9233
30.0514	758.9256	759.1259
30.0540	819.1274	821.1275
30.0568	881.1299	881.1501
30.0597	NA	NA
30.0625	NA	NA
30.0652	NA	NA
30.0680	NA	NA
30.0709	NA	NA
30.0739	NA	NA
30.0769	NA	NA
30.0799	NA	NA
30.0829	NA	NA
30.0861	NA	NA
30.0893	NA	NA
30.0926	NA	NA
30.0959	NA	NA
30.0992	NA	NA
30.1026	NA	NA
30.1060	NA	NA
30.1095	NA	NA
30.1132	NA	NA
30.1168	NA	NA
30.1207	NA	NA
30.1243	NA	NA
30.1282	NA	NA
30.1320	NA	NA
30.1358	NA	NA
30.1395	NA	NA
30.1434	NA	NA
30.1473	NA	NA
30.1513	NA	NA
30.1549	NA	NA
30.1588	NA	NA
30.1635	NA	NA
30.1677	NA	NA
30.1726	NA	NA
30.1768	NA	NA
30.1812	NA	NA
30.1857	NA	NA
30.1909	NA	NA
30.1956	NA	NA
30.2017	NA	NA
30.2066	NA	NA
30.2120	NA	NA
30.2179	NA	NA
30.2232	NA	NA
30.2289	NA	NA
30.2350	NA	NA
30.2428	NA	NA
30.2530	NA	NA
30.2688	NA	NA
34.0975	NA	NA
34.1061	NA	NA
90.2386	NA	NA
90.2415	NA	NA
90.2446	NA	NA
90.2476	NA	NA
90.2507	NA	NA
90.2537	NA	NA
90.2567	NA	NA
90.2596	NA	NA
90.2624	NA	NA
90.2655	NA	NA
90.2686	NA	NA
90.2717	NA	NA
90.2748	NA	NA
90.2778	NA	NA
90.2810	NA	NA
90.2841	NA	NA
90.2872	NA	NA
90.2904	NA	NA
90.2938	NA	NA
90.2970	NA	NA
90.3004	NA	NA
90.3040	NA	NA
90.3072	NA	NA
90.3110	NA	NA
90.3144	NA	NA
90.3179	NA	NA
90.3215	NA	NA
90.3255	NA	NA
90.3294	NA	NA
90.3334	NA	NA
90.3376	NA	NA
90.3418	NA	NA
90.3464	NA	NA
90.3504	NA	NA
90.3546	NA	NA
90.3586	NA	NA
90.3625	NA	NA
90.3667	NA	NA
90.3713	NA	NA
90.3756	NA	NA
90.3801	NA	NA
90.3856	NA	NA
90.3903	NA	NA
90.3950	NA	NA
90.4001	NA	NA
90.4058	NA	NA
90.4109	NA	NA
90.4161	NA	NA
90.4209	NA	NA
