spike times	Vanne1 ON	Vanne1 OFF
20.8046	30.0231	32.0235
30.0433	92.0251	92.0452
30.0471	152.0478	152.2478
30.0510	212.2494	214.2496
30.0548	NA	NA
30.0587	NA	NA
30.0623	NA	NA
30.0660	NA	NA
30.0697	NA	NA
30.0731	NA	NA
30.0764	NA	NA
30.0800	NA	NA
30.0837	NA	NA
30.0874	NA	NA
30.0915	NA	NA
30.0955	NA	NA
30.0995	NA	NA
30.1038	NA	NA
30.1086	NA	NA
30.1141	NA	NA
30.1193	NA	NA
30.1242	NA	NA
30.1298	NA	NA
30.1355	NA	NA
30.1413	NA	NA
30.1469	NA	NA
30.1533	NA	NA
30.1607	NA	NA
30.1680	NA	NA
30.1752	NA	NA
30.1849	NA	NA
30.1954	NA	NA
30.2027	NA	NA
30.2137	NA	NA
30.2219	NA	NA
30.2320	NA	NA
30.2417	NA	NA
30.2496	NA	NA
30.2612	NA	NA
30.2699	NA	NA
30.2790	NA	NA
30.2890	NA	NA
30.3043	NA	NA
30.3133	NA	NA
30.3245	NA	NA
30.3391	NA	NA
30.3570	NA	NA
30.3724	NA	NA
30.3851	NA	NA
30.3978	NA	NA
30.4083	NA	NA
30.4237	NA	NA
30.4372	NA	NA
30.4720	NA	NA
30.4824	NA	NA
30.4920	NA	NA
30.5038	NA	NA
30.5213	NA	NA
30.5318	NA	NA
30.5474	NA	NA
30.5668	NA	NA
30.5826	NA	NA
30.5935	NA	NA
30.6122	NA	NA
30.6245	NA	NA
30.6421	NA	NA
30.6843	NA	NA
30.7044	NA	NA
30.7232	NA	NA
30.7374	NA	NA
30.7848	NA	NA
30.8152	NA	NA
30.8427	NA	NA
30.8541	NA	NA
30.8643	NA	NA
30.8888	NA	NA
30.8982	NA	NA
30.9283	NA	NA
30.9422	NA	NA
30.9645	NA	NA
30.9741	NA	NA
30.9970	NA	NA
31.0184	NA	NA
31.0412	NA	NA
31.0569	NA	NA
31.0896	NA	NA
31.1178	NA	NA
31.1325	NA	NA
31.1453	NA	NA
31.1701	NA	NA
31.2004	NA	NA
31.2170	NA	NA
31.2350	NA	NA
31.2825	NA	NA
31.2975	NA	NA
31.3184	NA	NA
31.3716	NA	NA
31.3930	NA	NA
31.4242	NA	NA
31.4549	NA	NA
31.4762	NA	NA
31.4877	NA	NA
31.5118	NA	NA
31.5658	NA	NA
31.5832	NA	NA
31.6024	NA	NA
31.6144	NA	NA
31.6335	NA	NA
31.6768	NA	NA
31.7264	NA	NA
31.7563	NA	NA
31.7954	NA	NA
31.8223	NA	NA
31.8492	NA	NA
31.8694	NA	NA
31.8852	NA	NA
31.9319	NA	NA
31.9793	NA	NA
32.0038	NA	NA
34.9308	NA	NA
34.9507	NA	NA
35.6331	NA	NA
39.2063	NA	NA
