spike times	Vanne1 ON	Vanne1 OFF
1.6778	30.0165	32.0168
1.7068	92.0183	94.0176
2.0306	154.0192	156.0194
2.0495	216.0199	218.0201
2.0684	278.0221	280.0220
5.0308	340.0226	342.0227
5.0476	402.0244	404.0247
15.7613	464.0253	466.0254
15.7697	526.0271	528.0272
15.7798	588.0278	590.0281
15.7910	650.0296	652.0299
15.8021	712.0305	714.0308
27.0768	774.0323	776.0314
29.4329	836.0332	838.0332
29.4419	898.0339	900.0341
29.4504	960.0357	962.0359
30.0340	1022.0366	1024.0370
30.0371	1084.0384	1086.0385
30.0400	1146.0391	1148.0394
30.0429	1208.0410	1210.0412
30.0458	NA	NA
30.0488	NA	NA
30.0517	NA	NA
30.0546	NA	NA
30.0576	NA	NA
30.0607	NA	NA
30.0639	NA	NA
30.0672	NA	NA
30.0706	NA	NA
30.0742	NA	NA
30.0780	NA	NA
30.0814	NA	NA
30.0854	NA	NA
30.0890	NA	NA
30.0931	NA	NA
30.0976	NA	NA
30.1018	NA	NA
30.1060	NA	NA
30.1108	NA	NA
30.1156	NA	NA
30.1208	NA	NA
30.1255	NA	NA
30.1312	NA	NA
30.1378	NA	NA
30.1431	NA	NA
30.1489	NA	NA
30.1546	NA	NA
30.1605	NA	NA
30.1666	NA	NA
30.1747	NA	NA
30.1814	NA	NA
30.1901	NA	NA
30.1974	NA	NA
30.2051	NA	NA
30.2115	NA	NA
30.2178	NA	NA
30.2255	NA	NA
30.2343	NA	NA
30.2423	NA	NA
30.2494	NA	NA
30.2576	NA	NA
30.2642	NA	NA
30.2719	NA	NA
30.2795	NA	NA
30.2887	NA	NA
30.2974	NA	NA
30.3091	NA	NA
30.3204	NA	NA
30.3291	NA	NA
30.3362	NA	NA
30.3456	NA	NA
30.3564	NA	NA
30.3682	NA	NA
30.3829	NA	NA
30.3932	NA	NA
30.4072	NA	NA
30.4183	NA	NA
30.4343	NA	NA
30.4523	NA	NA
30.4628	NA	NA
30.4719	NA	NA
30.4823	NA	NA
30.4935	NA	NA
30.5092	NA	NA
30.5181	NA	NA
30.5280	NA	NA
30.5447	NA	NA
30.5630	NA	NA
30.5746	NA	NA
30.5872	NA	NA
30.5967	NA	NA
30.6078	NA	NA
30.6190	NA	NA
30.6340	NA	NA
30.6457	NA	NA
30.6619	NA	NA
30.6756	NA	NA
30.6843	NA	NA
30.6970	NA	NA
30.7134	NA	NA
30.7238	NA	NA
30.7426	NA	NA
30.7563	NA	NA
30.7673	NA	NA
30.7810	NA	NA
30.7890	NA	NA
30.8014	NA	NA
30.8152	NA	NA
30.8308	NA	NA
30.8490	NA	NA
30.8619	NA	NA
30.8776	NA	NA
30.8908	NA	NA
30.9054	NA	NA
30.9317	NA	NA
30.9423	NA	NA
30.9702	NA	NA
31.0017	NA	NA
31.0158	NA	NA
31.0288	NA	NA
31.0434	NA	NA
31.0667	NA	NA
31.0805	NA	NA
31.1029	NA	NA
31.1135	NA	NA
31.1366	NA	NA
31.1534	NA	NA
31.1707	NA	NA
31.1859	NA	NA
31.1991	NA	NA
31.2177	NA	NA
31.2401	NA	NA
31.2586	NA	NA
31.2848	NA	NA
31.2974	NA	NA
31.3283	NA	NA
31.3494	NA	NA
31.3597	NA	NA
31.3743	NA	NA
31.3928	NA	NA
31.4194	NA	NA
31.4531	NA	NA
31.4694	NA	NA
31.4966	NA	NA
31.5177	NA	NA
31.5439	NA	NA
31.5623	NA	NA
31.5828	NA	NA
31.6341	NA	NA
31.6539	NA	NA
31.6776	NA	NA
31.7266	NA	NA
31.7515	NA	NA
31.7734	NA	NA
31.7929	NA	NA
31.9009	NA	NA
31.9218	NA	NA
31.9354	NA	NA
31.9564	NA	NA
31.9863	NA	NA
32.3707	NA	NA
32.4360	NA	NA
32.5465	NA	NA
32.5537	NA	NA
32.6084	NA	NA
32.6664	NA	NA
32.7287	NA	NA
32.7643	NA	NA
32.7868	NA	NA
32.8613	NA	NA
32.9267	NA	NA
33.0565	NA	NA
33.1166	NA	NA
33.1820	NA	NA
33.2219	NA	NA
33.2418	NA	NA
33.3177	NA	NA
33.3974	NA	NA
33.4118	NA	NA
33.4597	NA	NA
33.4902	NA	NA
33.5611	NA	NA
33.6148	NA	NA
33.7009	NA	NA
33.7463	NA	NA
33.8600	NA	NA
33.8771	NA	NA
33.9290	NA	NA
33.9768	NA	NA
33.9989	NA	NA
34.0889	NA	NA
34.2897	NA	NA
34.3165	NA	NA
34.4516	NA	NA
34.4661	NA	NA
34.4951	NA	NA
34.5573	NA	NA
34.7094	NA	NA
34.8499	NA	NA
34.9652	NA	NA
35.1141	NA	NA
35.2257	NA	NA
35.3495	NA	NA
35.4359	NA	NA
35.5209	NA	NA
35.5984	NA	NA
35.6744	NA	NA
35.7261	NA	NA
35.8107	NA	NA
35.8381	NA	NA
36.0195	NA	NA
36.0315	NA	NA
36.3595	NA	NA
36.4301	NA	NA
36.6052	NA	NA
36.9242	NA	NA
37.0120	NA	NA
37.0360	NA	NA
37.0593	NA	NA
37.0684	NA	NA
37.2369	NA	NA
37.2524	NA	NA
37.2728	NA	NA
37.3246	NA	NA
37.6711	NA	NA
37.7022	NA	NA
37.7408	NA	NA
37.8667	NA	NA
37.9968	NA	NA
38.0308	NA	NA
38.0452	NA	NA
38.1443	NA	NA
38.1527	NA	NA
38.3072	NA	NA
38.4604	NA	NA
38.5294	NA	NA
38.6189	NA	NA
38.8057	NA	NA
38.8138	NA	NA
38.8245	NA	NA
38.9256	NA	NA
39.0127	NA	NA
39.0651	NA	NA
39.4296	NA	NA
39.4492	NA	NA
39.4915	NA	NA
39.5345	NA	NA
39.7693	NA	NA
39.8703	NA	NA
40.1272	NA	NA
40.2417	NA	NA
40.4276	NA	NA
40.4520	NA	NA
40.5810	NA	NA
40.5944	NA	NA
40.7188	NA	NA
40.7923	NA	NA
41.0500	NA	NA
41.0963	NA	NA
41.1065	NA	NA
41.1203	NA	NA
41.1448	NA	NA
41.7006	NA	NA
41.7072	NA	NA
41.7244	NA	NA
41.7830	NA	NA
42.1069	NA	NA
42.1183	NA	NA
42.1523	NA	NA
42.1679	NA	NA
42.3471	NA	NA
42.4637	NA	NA
42.6637	NA	NA
42.8495	NA	NA
42.9338	NA	NA
43.0453	NA	NA
43.0751	NA	NA
43.0819	NA	NA
43.0980	NA	NA
43.3920	NA	NA
43.4342	NA	NA
43.4683	NA	NA
43.5546	NA	NA
43.8042	NA	NA
43.9656	NA	NA
44.0716	NA	NA
44.2214	NA	NA
44.3889	NA	NA
44.4106	NA	NA
44.4258	NA	NA
44.4381	NA	NA
44.6823	NA	NA
44.7663	NA	NA
44.8489	NA	NA
44.8592	NA	NA
44.8871	NA	NA
44.9039	NA	NA
45.0738	NA	NA
45.6053	NA	NA
45.6204	NA	NA
45.6650	NA	NA
45.7256	NA	NA
45.7342	NA	NA
46.2424	NA	NA
46.2686	NA	NA
46.2748	NA	NA
46.4947	NA	NA
46.6309	NA	NA
46.9771	NA	NA
46.9959	NA	NA
47.3420	NA	NA
47.4571	NA	NA
47.6052	NA	NA
47.7796	NA	NA
47.8997	NA	NA
48.2791	NA	NA
48.3849	NA	NA
48.3977	NA	NA
48.4811	NA	NA
48.4980	NA	NA
48.5847	NA	NA
49.1909	NA	NA
49.2379	NA	NA
49.2675	NA	NA
49.5396	NA	NA
49.6255	NA	NA
49.8425	NA	NA
50.0852	NA	NA
50.2998	NA	NA
50.3792	NA	NA
50.6618	NA	NA
50.8690	NA	NA
50.8782	NA	NA
50.9860	NA	NA
51.0962	NA	NA
51.2405	NA	NA
51.3045	NA	NA
51.3693	NA	NA
51.4055	NA	NA
51.6026	NA	NA
51.9990	NA	NA
52.0998	NA	NA
52.4899	NA	NA
52.8135	NA	NA
52.9453	NA	NA
53.1259	NA	NA
53.5037	NA	NA
53.6453	NA	NA
53.6865	NA	NA
54.1359	NA	NA
54.1463	NA	NA
54.1581	NA	NA
54.5673	NA	NA
54.5750	NA	NA
54.6680	NA	NA
55.2411	NA	NA
55.4444	NA	NA
55.4567	NA	NA
55.8892	NA	NA
56.1694	NA	NA
56.2633	NA	NA
56.5994	NA	NA
56.6122	NA	NA
56.8011	NA	NA
57.0218	NA	NA
57.0366	NA	NA
57.0462	NA	NA
57.1973	NA	NA
57.4065	NA	NA
57.8502	NA	NA
58.0030	NA	NA
58.0802	NA	NA
58.2288	NA	NA
58.6402	NA	NA
58.6481	NA	NA
58.8617	NA	NA
59.1396	NA	NA
59.2852	NA	NA
59.6785	NA	NA
59.6943	NA	NA
59.7108	NA	NA
59.7869	NA	NA
59.9195	NA	NA
60.0286	NA	NA
60.0423	NA	NA
60.1538	NA	NA
60.5836	NA	NA
60.5990	NA	NA
61.1420	NA	NA
61.3367	NA	NA
61.4324	NA	NA
61.5070	NA	NA
62.0288	NA	NA
62.4984	NA	NA
62.5233	NA	NA
62.6841	NA	NA
63.0190	NA	NA
63.2893	NA	NA
63.3112	NA	NA
63.4632	NA	NA
64.2871	NA	NA
64.3018	NA	NA
64.5870	NA	NA
64.7427	NA	NA
64.7511	NA	NA
65.4574	NA	NA
65.8137	NA	NA
65.8249	NA	NA
65.8970	NA	NA
65.9927	NA	NA
66.4455	NA	NA
66.8620	NA	NA
66.8730	NA	NA
67.0620	NA	NA
67.4107	NA	NA
67.4191	NA	NA
67.5265	NA	NA
67.5439	NA	NA
67.8548	NA	NA
68.0380	NA	NA
68.2642	NA	NA
68.8180	NA	NA
70.2335	NA	NA
70.3300	NA	NA
70.6866	NA	NA
70.6951	NA	NA
71.2532	NA	NA
71.2625	NA	NA
71.6930	NA	NA
71.7052	NA	NA
71.7705	NA	NA
71.7841	NA	NA
71.8030	NA	NA
72.4210	NA	NA
73.0082	NA	NA
73.0174	NA	NA
73.6324	NA	NA
73.6606	NA	NA
73.9264	NA	NA
74.2007	NA	NA
74.5284	NA	NA
74.7146	NA	NA
74.9577	NA	NA
75.2785	NA	NA
75.2916	NA	NA
75.5586	NA	NA
75.7384	NA	NA
76.0278	NA	NA
76.3763	NA	NA
76.3837	NA	NA
76.3896	NA	NA
76.3985	NA	NA
76.7165	NA	NA
77.2795	NA	NA
77.7367	NA	NA
77.9488	NA	NA
77.9586	NA	NA
78.0605	NA	NA
78.5257	NA	NA
79.7110	NA	NA
79.9482	NA	NA
80.3519	NA	NA
80.3597	NA	NA
80.9708	NA	NA
80.9834	NA	NA
81.8299	NA	NA
81.8928	NA	NA
82.7853	NA	NA
83.0728	NA	NA
83.4268	NA	NA
83.9326	NA	NA
83.9453	NA	NA
84.2486	NA	NA
84.2652	NA	NA
84.2787	NA	NA
84.6480	NA	NA
84.8956	NA	NA
86.5568	NA	NA
86.5656	NA	NA
86.7347	NA	NA
86.7986	NA	NA
87.0154	NA	NA
87.3954	NA	NA
87.4087	NA	NA
87.4197	NA	NA
87.8844	NA	NA
88.5659	NA	NA
89.2529	NA	NA
89.2624	NA	NA
90.1884	NA	NA
90.5967	NA	NA
91.6724	NA	NA
92.0319	NA	NA
92.0355	NA	NA
92.0389	NA	NA
92.0423	NA	NA
92.0455	NA	NA
92.0487	NA	NA
92.0517	NA	NA
92.0547	NA	NA
92.0580	NA	NA
92.0613	NA	NA
92.0649	NA	NA
92.0683	NA	NA
92.0720	NA	NA
92.0756	NA	NA
92.0794	NA	NA
92.0828	NA	NA
92.0869	NA	NA
92.0906	NA	NA
92.0948	NA	NA
92.0992	NA	NA
92.1036	NA	NA
92.1085	NA	NA
92.1130	NA	NA
92.1179	NA	NA
92.1230	NA	NA
92.1281	NA	NA
92.1334	NA	NA
92.1385	NA	NA
92.1437	NA	NA
92.1495	NA	NA
92.1546	NA	NA
92.1606	NA	NA
92.1658	NA	NA
92.1727	NA	NA
92.1787	NA	NA
92.1848	NA	NA
92.1898	NA	NA
92.1969	NA	NA
92.2034	NA	NA
92.2094	NA	NA
92.2159	NA	NA
92.2226	NA	NA
92.2289	NA	NA
92.2369	NA	NA
92.2445	NA	NA
92.2523	NA	NA
92.2589	NA	NA
92.2674	NA	NA
92.2737	NA	NA
92.2820	NA	NA
92.2891	NA	NA
92.2966	NA	NA
92.3063	NA	NA
92.3139	NA	NA
92.3205	NA	NA
92.3293	NA	NA
92.3378	NA	NA
92.3482	NA	NA
92.3554	NA	NA
92.3635	NA	NA
92.3765	NA	NA
92.3842	NA	NA
92.3919	NA	NA
92.3996	NA	NA
92.4072	NA	NA
92.4151	NA	NA
92.4240	NA	NA
92.4321	NA	NA
92.4390	NA	NA
92.4493	NA	NA
92.4578	NA	NA
92.4706	NA	NA
92.4810	NA	NA
92.4890	NA	NA
92.4988	NA	NA
92.5092	NA	NA
92.5171	NA	NA
92.5280	NA	NA
92.5376	NA	NA
92.5503	NA	NA
92.5584	NA	NA
92.5675	NA	NA
92.5790	NA	NA
92.5911	NA	NA
92.6060	NA	NA
92.6156	NA	NA
92.6294	NA	NA
92.6396	NA	NA
92.6538	NA	NA
92.6682	NA	NA
92.6780	NA	NA
92.6881	NA	NA
92.6996	NA	NA
92.7082	NA	NA
92.7195	NA	NA
92.7280	NA	NA
92.7406	NA	NA
92.7550	NA	NA
92.7696	NA	NA
92.7863	NA	NA
92.7973	NA	NA
92.8088	NA	NA
92.8229	NA	NA
92.8322	NA	NA
92.8456	NA	NA
92.8587	NA	NA
92.8710	NA	NA
92.8888	NA	NA
92.9023	NA	NA
92.9136	NA	NA
92.9313	NA	NA
92.9485	NA	NA
92.9628	NA	NA
92.9734	NA	NA
92.9891	NA	NA
93.0224	NA	NA
93.0378	NA	NA
93.0562	NA	NA
93.0689	NA	NA
93.0857	NA	NA
93.1003	NA	NA
93.1268	NA	NA
93.1457	NA	NA
93.1644	NA	NA
93.1863	NA	NA
93.2038	NA	NA
93.2214	NA	NA
93.2432	NA	NA
93.2656	NA	NA
93.2803	NA	NA
93.2989	NA	NA
93.3164	NA	NA
93.3291	NA	NA
93.3482	NA	NA
93.3673	NA	NA
93.3978	NA	NA
93.4247	NA	NA
93.4532	NA	NA
93.4801	NA	NA
93.5048	NA	NA
93.5385	NA	NA
93.5692	NA	NA
93.6260	NA	NA
93.6447	NA	NA
93.6661	NA	NA
93.7429	NA	NA
93.7770	NA	NA
93.7911	NA	NA
93.8836	NA	NA
93.9242	NA	NA
94.5280	NA	NA
94.5609	NA	NA
94.6419	NA	NA
94.7814	NA	NA
94.8422	NA	NA
94.9339	NA	NA
94.9848	NA	NA
95.0845	NA	NA
95.2017	NA	NA
95.2124	NA	NA
95.2295	NA	NA
95.2911	NA	NA
95.4712	NA	NA
95.5108	NA	NA
95.6288	NA	NA
95.6548	NA	NA
95.8911	NA	NA
95.9811	NA	NA
96.0092	NA	NA
96.2000	NA	NA
96.2794	NA	NA
96.3392	NA	NA
96.4798	NA	NA
96.5726	NA	NA
96.6977	NA	NA
96.7126	NA	NA
96.8981	NA	NA
96.9553	NA	NA
97.1938	NA	NA
