spike times	Vanne1 ON	Vanne1 OFF
2.6212	30.0174	32.0172
2.6277	92.0181	94.0181
2.6410	154.0199	156.0192
8.9965	216.0210	218.0207
9.0071	278.0226	280.0218
9.0346	340.0237	342.0234
9.0470	402.0243	404.0245
11.2416	464.0263	466.0261
11.2561	526.0270	528.0272
11.2695	588.0288	590.0288
11.4870	650.0295	652.0297
11.5168	712.0315	714.0315
30.0345	774.0324	776.0324
30.0378	NA	NA
30.0412	NA	NA
30.0443	NA	NA
30.0476	NA	NA
30.0510	NA	NA
30.0545	NA	NA
30.0579	NA	NA
30.0616	NA	NA
30.0651	NA	NA
30.0689	NA	NA
30.0732	NA	NA
30.0773	NA	NA
30.0817	NA	NA
30.0868	NA	NA
30.0920	NA	NA
30.0972	NA	NA
30.1043	NA	NA
30.1106	NA	NA
30.1175	NA	NA
30.1240	NA	NA
30.1321	NA	NA
30.1434	NA	NA
30.1515	NA	NA
30.1596	NA	NA
30.1727	NA	NA
30.1823	NA	NA
30.1909	NA	NA
30.2037	NA	NA
30.2218	NA	NA
30.2332	NA	NA
30.2477	NA	NA
30.2703	NA	NA
30.2911	NA	NA
30.3163	NA	NA
30.3288	NA	NA
30.3515	NA	NA
30.3754	NA	NA
30.3988	NA	NA
30.4260	NA	NA
30.4342	NA	NA
30.4737	NA	NA
30.4847	NA	NA
30.5044	NA	NA
30.5341	NA	NA
30.5529	NA	NA
30.5830	NA	NA
30.5943	NA	NA
30.6435	NA	NA
30.6637	NA	NA
30.6865	NA	NA
30.7237	NA	NA
30.7422	NA	NA
30.7665	NA	NA
30.7822	NA	NA
30.8054	NA	NA
30.8341	NA	NA
30.8913	NA	NA
30.8985	NA	NA
30.9209	NA	NA
30.9362	NA	NA
30.9677	NA	NA
31.0119	NA	NA
31.0300	NA	NA
31.0544	NA	NA
31.0821	NA	NA
31.1197	NA	NA
31.1694	NA	NA
31.1828	NA	NA
31.1988	NA	NA
31.2590	NA	NA
31.3088	NA	NA
31.3341	NA	NA
31.3473	NA	NA
31.4011	NA	NA
31.4114	NA	NA
31.4797	NA	NA
31.5010	NA	NA
31.5104	NA	NA
31.5565	NA	NA
31.5896	NA	NA
31.6104	NA	NA
31.6240	NA	NA
31.6476	NA	NA
31.6718	NA	NA
31.7106	NA	NA
31.7770	NA	NA
31.7865	NA	NA
31.8139	NA	NA
31.8455	NA	NA
31.8870	NA	NA
31.9302	NA	NA
31.9495	NA	NA
31.9775	NA	NA
32.0245	NA	NA
32.9370	NA	NA
33.6537	NA	NA
33.6978	NA	NA
34.0739	NA	NA
34.4196	NA	NA
34.7792	NA	NA
34.7879	NA	NA
34.8894	NA	NA
34.8992	NA	NA
35.5099	NA	NA
35.5379	NA	NA
35.8248	NA	NA
35.9205	NA	NA
36.2070	NA	NA
36.3861	NA	NA
36.4004	NA	NA
36.5718	NA	NA
36.8296	NA	NA
37.2806	NA	NA
37.3859	NA	NA
37.5531	NA	NA
37.8901	NA	NA
38.0070	NA	NA
38.2091	NA	NA
38.3619	NA	NA
38.7141	NA	NA
38.7237	NA	NA
38.7332	NA	NA
38.8041	NA	NA
39.2133	NA	NA
39.2782	NA	NA
39.2899	NA	NA
39.9000	NA	NA
40.1051	NA	NA
40.6958	NA	NA
