spike times	Vanne1 ON	Vanne1 OFF	Vanne2 ON	Vanne2 OFF
0.2299	60.0204	62.0204	0.0188	60.0204
0.2441	122.0211	124.0213	62.0204	122.0211
0.3600	184.0229	186.0232	124.0213	184.0229
0.6453	NA	NA	186.0231	-1.0000
0.6749	NA	NA	NA	NA
1.2214	NA	NA	NA	NA
1.2686	NA	NA	NA	NA
1.4783	NA	NA	NA	NA
1.7467	NA	NA	NA	NA
3.7191	NA	NA	NA	NA
3.7277	NA	NA	NA	NA
5.0577	NA	NA	NA	NA
5.7200	NA	NA	NA	NA
6.1539	NA	NA	NA	NA
6.3481	NA	NA	NA	NA
7.3053	NA	NA	NA	NA
9.9286	NA	NA	NA	NA
11.3092	NA	NA	NA	NA
11.3187	NA	NA	NA	NA
11.3376	NA	NA	NA	NA
13.9432	NA	NA	NA	NA
13.9769	NA	NA	NA	NA
15.1048	NA	NA	NA	NA
15.1256	NA	NA	NA	NA
16.6633	NA	NA	NA	NA
17.2312	NA	NA	NA	NA
19.0089	NA	NA	NA	NA
19.1801	NA	NA	NA	NA
20.8217	NA	NA	NA	NA
22.9115	NA	NA	NA	NA
23.1418	NA	NA	NA	NA
23.4188	NA	NA	NA	NA
24.1087	NA	NA	NA	NA
25.7629	NA	NA	NA	NA
26.9419	NA	NA	NA	NA
27.5592	NA	NA	NA	NA
28.3337	NA	NA	NA	NA
29.1394	NA	NA	NA	NA
29.6537	NA	NA	NA	NA
33.7878	NA	NA	NA	NA
34.9722	NA	NA	NA	NA
35.8746	NA	NA	NA	NA
36.7877	NA	NA	NA	NA
38.8673	NA	NA	NA	NA
38.8740	NA	NA	NA	NA
39.9671	NA	NA	NA	NA
40.0122	NA	NA	NA	NA
46.0631	NA	NA	NA	NA
46.8902	NA	NA	NA	NA
48.6577	NA	NA	NA	NA
49.6391	NA	NA	NA	NA
50.0292	NA	NA	NA	NA
50.7350	NA	NA	NA	NA
51.7425	NA	NA	NA	NA
51.7564	NA	NA	NA	NA
52.5709	NA	NA	NA	NA
52.6089	NA	NA	NA	NA
52.9764	NA	NA	NA	NA
53.0214	NA	NA	NA	NA
54.0016	NA	NA	NA	NA
54.8014	NA	NA	NA	NA
56.2995	NA	NA	NA	NA
56.8831	NA	NA	NA	NA
56.9920	NA	NA	NA	NA
57.4036	NA	NA	NA	NA
60.0391	NA	NA	NA	NA
60.0506	NA	NA	NA	NA
60.0531	NA	NA	NA	NA
60.0561	NA	NA	NA	NA
60.0577	NA	NA	NA	NA
60.0608	NA	NA	NA	NA
60.0638	NA	NA	NA	NA
60.0669	NA	NA	NA	NA
60.0716	NA	NA	NA	NA
60.0754	NA	NA	NA	NA
60.0789	NA	NA	NA	NA
60.0838	NA	NA	NA	NA
