spike times	Vanne1 ON	Vanne1 OFF
3.7453	900.0343	902.0345
3.7544	NA	NA
3.7645	NA	NA
3.7770	NA	NA
3.7925	NA	NA
5.1409	NA	NA
5.1574	NA	NA
37.4285	NA	NA
41.1249	NA	NA
41.1359	NA	NA
41.1522	NA	NA
41.1662	NA	NA
41.2005	NA	NA
41.4664	NA	NA
44.1232	NA	NA
44.1326	NA	NA
44.1873	NA	NA
44.7070	NA	NA
50.7762	NA	NA
58.3824	NA	NA
58.3922	NA	NA
58.4112	NA	NA
58.4401	NA	NA
58.4748	NA	NA
65.3962	NA	NA
69.3505	NA	NA
103.0854	NA	NA
103.1008	NA	NA
103.1302	NA	NA
103.3509	NA	NA
103.3649	NA	NA
103.3926	NA	NA
105.8658	NA	NA
105.8821	NA	NA
105.8937	NA	NA
105.9080	NA	NA
105.9378	NA	NA
106.2159	NA	NA
106.2317	NA	NA
106.8969	NA	NA
106.9098	NA	NA
106.9266	NA	NA
106.9388	NA	NA
110.6174	NA	NA
110.6261	NA	NA
110.6372	NA	NA
110.6540	NA	NA
110.6663	NA	NA
110.7034	NA	NA
120.1313	NA	NA
120.1506	NA	NA
120.1595	NA	NA
120.1717	NA	NA
120.1823	NA	NA
120.1970	NA	NA
121.7878	NA	NA
128.0045	NA	NA
128.3319	NA	NA
128.3429	NA	NA
128.3535	NA	NA
128.3655	NA	NA
128.3954	NA	NA
132.1073	NA	NA
132.1179	NA	NA
132.1340	NA	NA
132.1509	NA	NA
132.1642	NA	NA
133.5130	NA	NA
133.5236	NA	NA
133.5347	NA	NA
133.5448	NA	NA
133.5555	NA	NA
134.4767	NA	NA
134.4971	NA	NA
140.8264	NA	NA
145.2780	NA	NA
146.2715	NA	NA
150.3632	NA	NA
150.3723	NA	NA
150.3868	NA	NA
150.4083	NA	NA
160.7825	NA	NA
160.8035	NA	NA
160.8132	NA	NA
160.8368	NA	NA
160.8618	NA	NA
162.2974	NA	NA
162.3069	NA	NA
162.3649	NA	NA
162.3991	NA	NA
167.9594	NA	NA
170.1733	NA	NA
175.6014	NA	NA
175.6099	NA	NA
175.6200	NA	NA
201.6289	NA	NA
201.6395	NA	NA
201.6565	NA	NA
201.6748	NA	NA
201.7020	NA	NA
201.7178	NA	NA
201.8951	NA	NA
203.3237	NA	NA
203.3838	NA	NA
203.4411	NA	NA
203.4763	NA	NA
207.0667	NA	NA
207.0826	NA	NA
207.1044	NA	NA
207.1205	NA	NA
207.2211	NA	NA
215.0264	NA	NA
215.0351	NA	NA
215.0620	NA	NA
215.0782	NA	NA
218.1841	NA	NA
226.4770	NA	NA
226.5016	NA	NA
226.6665	NA	NA
246.2915	NA	NA
246.3034	NA	NA
246.3158	NA	NA
246.3296	NA	NA
246.3644	NA	NA
270.3362	NA	NA
270.3671	NA	NA
270.3812	NA	NA
270.4229	NA	NA
273.8122	NA	NA
273.8322	NA	NA
273.8439	NA	NA
273.8622	NA	NA
273.8800	NA	NA
274.3989	NA	NA
287.4825	NA	NA
287.4920	NA	NA
287.5049	NA	NA
287.5393	NA	NA
291.9017	NA	NA
300.4443	NA	NA
300.4589	NA	NA
300.4740	NA	NA
300.5084	NA	NA
300.5623	NA	NA
303.2681	NA	NA
303.2818	NA	NA
303.2946	NA	NA
303.3076	NA	NA
303.3428	NA	NA
308.3180	NA	NA
308.3441	NA	NA
329.9089	NA	NA
329.9290	NA	NA
329.9575	NA	NA
331.8376	NA	NA
331.8483	NA	NA
331.8663	NA	NA
331.8786	NA	NA
338.3604	NA	NA
338.3705	NA	NA
338.3817	NA	NA
338.3966	NA	NA
338.4188	NA	NA
340.3912	NA	NA
340.4134	NA	NA
344.4148	NA	NA
344.4376	NA	NA
344.4578	NA	NA
344.4728	NA	NA
354.1876	NA	NA
354.2032	NA	NA
354.2178	NA	NA
354.2607	NA	NA
364.0790	NA	NA
364.0887	NA	NA
364.1055	NA	NA
374.8335	NA	NA
378.9090	NA	NA
378.9192	NA	NA
378.9348	NA	NA
378.9477	NA	NA
378.9788	NA	NA
384.6438	NA	NA
384.6530	NA	NA
384.6680	NA	NA
384.6794	NA	NA
416.9096	NA	NA
416.9322	NA	NA
416.9521	NA	NA
426.5812	NA	NA
426.5922	NA	NA
426.6006	NA	NA
426.6144	NA	NA
426.6373	NA	NA
428.4995	NA	NA
428.5245	NA	NA
428.5673	NA	NA
428.5887	NA	NA
440.3619	NA	NA
440.3860	NA	NA
441.4930	NA	NA
441.6450	NA	NA
506.5798	NA	NA
506.5912	NA	NA
524.3238	NA	NA
541.3970	NA	NA
541.4137	NA	NA
557.1869	NA	NA
557.8279	NA	NA
557.8492	NA	NA
557.8641	NA	NA
572.3892	NA	NA
590.0209	NA	NA
608.3608	NA	NA
629.2242	NA	NA
629.2463	NA	NA
629.2676	NA	NA
629.2821	NA	NA
669.7659	NA	NA
669.7754	NA	NA
670.1506	NA	NA
673.8999	NA	NA
678.5340	NA	NA
679.7931	NA	NA
684.3411	NA	NA
684.3622	NA	NA
686.1250	NA	NA
771.6115	NA	NA
774.1459	NA	NA
774.1783	NA	NA
774.1982	NA	NA
789.4417	NA	NA
808.3477	NA	NA
808.3933	NA	NA
866.6699	NA	NA
866.6823	NA	NA
866.7375	NA	NA
885.8226	NA	NA
885.9135	NA	NA
885.9290	NA	NA
888.6447	NA	NA
888.6765	NA	NA
892.2485	NA	NA
900.1213	NA	NA
900.1281	NA	NA
900.1359	NA	NA
900.1447	NA	NA
900.1538	NA	NA
900.1656	NA	NA
900.1738	NA	NA
900.1833	NA	NA
900.2078	NA	NA
900.2424	NA	NA
900.2685	NA	NA
900.2777	NA	NA
900.2871	NA	NA
900.2971	NA	NA
900.3241	NA	NA
900.3464	NA	NA
900.4036	NA	NA
900.4149	NA	NA
900.4226	NA	NA
900.4773	NA	NA
900.4931	NA	NA
900.5028	NA	NA
900.5177	NA	NA
900.5461	NA	NA
900.5701	NA	NA
900.6285	NA	NA
900.6375	NA	NA
900.6533	NA	NA
900.6681	NA	NA
900.7060	NA	NA
900.7389	NA	NA
900.7778	NA	NA
900.7957	NA	NA
900.8411	NA	NA
900.8744	NA	NA
900.9042	NA	NA
900.9180	NA	NA
900.9586	NA	NA
900.9702	NA	NA
901.0018	NA	NA
901.0203	NA	NA
901.0641	NA	NA
901.0882	NA	NA
901.1262	NA	NA
901.1604	NA	NA
901.2133	NA	NA
901.2598	NA	NA
901.2782	NA	NA
901.2970	NA	NA
901.3424	NA	NA
901.4049	NA	NA
901.4613	NA	NA
901.4804	NA	NA
901.4975	NA	NA
901.5204	NA	NA
901.5632	NA	NA
901.7482	NA	NA
901.7584	NA	NA
901.7696	NA	NA
901.8014	NA	NA
901.8196	NA	NA
901.8699	NA	NA
901.8907	NA	NA
901.9036	NA	NA
901.9912	NA	NA
902.0072	NA	NA
902.0263	NA	NA
904.7745	NA	NA
904.8127	NA	NA
905.0500	NA	NA
905.0582	NA	NA
905.1445	NA	NA
905.2399	NA	NA
905.2533	NA	NA
906.6602	NA	NA
907.0947	NA	NA
907.4028	NA	NA
907.4167	NA	NA
908.1119	NA	NA
908.1281	NA	NA
908.1380	NA	NA
908.7637	NA	NA
908.9379	NA	NA
909.3702	NA	NA
909.5781	NA	NA
909.5914	NA	NA
909.6744	NA	NA
909.6858	NA	NA
