spike times	Vanne1 ON	Vanne1 OFF
5.9771	900.0338	902.0337
5.9862	NA	NA
13.8644	NA	NA
13.8779	NA	NA
13.8996	NA	NA
13.9088	NA	NA
13.9187	NA	NA
13.9961	NA	NA
14.3288	NA	NA
14.3373	NA	NA
14.4841	NA	NA
14.7156	NA	NA
14.8012	NA	NA
16.1579	NA	NA
16.1628	NA	NA
16.1681	NA	NA
16.1773	NA	NA
16.1826	NA	NA
16.1918	NA	NA
16.1994	NA	NA
16.2545	NA	NA
16.2653	NA	NA
16.2802	NA	NA
16.7692	NA	NA
16.7769	NA	NA
26.1435	NA	NA
26.1674	NA	NA
26.1929	NA	NA
26.2157	NA	NA
29.1167	NA	NA
29.8817	NA	NA
29.9368	NA	NA
29.9586	NA	NA
30.7283	NA	NA
30.7389	NA	NA
31.5192	NA	NA
60.8859	NA	NA
60.8982	NA	NA
60.9301	NA	NA
60.9423	NA	NA
60.9541	NA	NA
66.3960	NA	NA
66.4144	NA	NA
66.4595	NA	NA
69.6608	NA	NA
69.6915	NA	NA
69.7073	NA	NA
69.7785	NA	NA
70.5943	NA	NA
70.6003	NA	NA
70.6065	NA	NA
70.6129	NA	NA
70.6190	NA	NA
70.6422	NA	NA
71.7297	NA	NA
71.7406	NA	NA
71.7537	NA	NA
71.7803	NA	NA
71.8132	NA	NA
80.3829	NA	NA
80.4175	NA	NA
80.4873	NA	NA
96.5050	NA	NA
96.5141	NA	NA
96.5222	NA	NA
96.5324	NA	NA
98.5260	NA	NA
98.5463	NA	NA
98.5574	NA	NA
98.5679	NA	NA
102.2536	NA	NA
122.5826	NA	NA
122.5908	NA	NA
122.5985	NA	NA
122.6508	NA	NA
122.6733	NA	NA
148.4663	NA	NA
148.4764	NA	NA
148.4899	NA	NA
148.5006	NA	NA
148.5659	NA	NA
148.5782	NA	NA
148.6043	NA	NA
149.8671	NA	NA
157.6427	NA	NA
157.6920	NA	NA
157.7019	NA	NA
157.7077	NA	NA
157.7113	NA	NA
157.7212	NA	NA
157.8972	NA	NA
157.9074	NA	NA
158.1540	NA	NA
158.5535	NA	NA
171.1161	NA	NA
171.1262	NA	NA
171.1466	NA	NA
171.1616	NA	NA
182.2088	NA	NA
182.2201	NA	NA
182.2330	NA	NA
183.6641	NA	NA
183.6733	NA	NA
183.6852	NA	NA
183.6946	NA	NA
183.7045	NA	NA
186.0599	NA	NA
186.0692	NA	NA
186.0781	NA	NA
186.1243	NA	NA
192.2301	NA	NA
192.2393	NA	NA
192.2730	NA	NA
205.3280	NA	NA
205.3395	NA	NA
217.7053	NA	NA
217.7280	NA	NA
217.7538	NA	NA
217.7697	NA	NA
217.7893	NA	NA
220.6466	NA	NA
220.6602	NA	NA
220.6754	NA	NA
220.6922	NA	NA
220.7087	NA	NA
230.8284	NA	NA
230.8432	NA	NA
230.8544	NA	NA
230.8869	NA	NA
235.3874	NA	NA
243.8626	NA	NA
243.8936	NA	NA
243.9052	NA	NA
244.0143	NA	NA
272.4681	NA	NA
272.4848	NA	NA
272.5018	NA	NA
272.5142	NA	NA
272.5248	NA	NA
275.1693	NA	NA
275.2153	NA	NA
275.2245	NA	NA
291.7819	NA	NA
324.8184	NA	NA
324.8435	NA	NA
324.8616	NA	NA
331.3638	NA	NA
335.6008	NA	NA
335.6229	NA	NA
335.6494	NA	NA
335.8241	NA	NA
342.2662	NA	NA
342.2885	NA	NA
342.3051	NA	NA
342.3305	NA	NA
411.8526	NA	NA
411.8802	NA	NA
684.2220	NA	NA
684.2396	NA	NA
684.2639	NA	NA
717.2758	NA	NA
717.2907	NA	NA
717.3137	NA	NA
717.3341	NA	NA
900.0747	NA	NA
900.0812	NA	NA
900.0878	NA	NA
900.0924	NA	NA
900.0984	NA	NA
900.1041	NA	NA
900.1090	NA	NA
900.1137	NA	NA
900.1194	NA	NA
900.1247	NA	NA
900.1319	NA	NA
900.1393	NA	NA
900.1455	NA	NA
900.1525	NA	NA
900.1607	NA	NA
900.1687	NA	NA
900.1746	NA	NA
900.1845	NA	NA
900.1941	NA	NA
900.2012	NA	NA
900.2138	NA	NA
900.2249	NA	NA
900.2416	NA	NA
900.2516	NA	NA
900.2647	NA	NA
900.2754	NA	NA
900.2883	NA	NA
900.3027	NA	NA
900.3174	NA	NA
900.3270	NA	NA
900.3374	NA	NA
900.3476	NA	NA
900.3621	NA	NA
900.3830	NA	NA
900.4042	NA	NA
900.4184	NA	NA
900.4273	NA	NA
900.4503	NA	NA
900.4752	NA	NA
900.5020	NA	NA
900.5118	NA	NA
900.5255	NA	NA
900.5531	NA	NA
900.5965	NA	NA
900.6141	NA	NA
900.6379	NA	NA
900.6846	NA	NA
900.7335	NA	NA
900.7664	NA	NA
900.7777	NA	NA
900.7958	NA	NA
900.8158	NA	NA
900.8437	NA	NA
900.8814	NA	NA
900.9306	NA	NA
900.9634	NA	NA
900.9817	NA	NA
900.9987	NA	NA
901.0136	NA	NA
901.0640	NA	NA
901.0977	NA	NA
901.1472	NA	NA
901.1627	NA	NA
901.1975	NA	NA
901.3006	NA	NA
901.3196	NA	NA
901.3383	NA	NA
901.4024	NA	NA
901.4486	NA	NA
901.4616	NA	NA
901.4883	NA	NA
901.5132	NA	NA
901.5676	NA	NA
901.5991	NA	NA
901.6117	NA	NA
901.6185	NA	NA
901.7007	NA	NA
901.7300	NA	NA
901.7837	NA	NA
901.7972	NA	NA
901.9072	NA	NA
901.9446	NA	NA
901.9958	NA	NA
902.0092	NA	NA
902.1009	NA	NA
903.4412	NA	NA
903.5634	NA	NA
903.6120	NA	NA
903.8283	NA	NA
903.8382	NA	NA
903.9165	NA	NA
904.0136	NA	NA
904.4307	NA	NA
904.4435	NA	NA
904.6317	NA	NA
904.7143	NA	NA
905.3381	NA	NA
905.4847	NA	NA
905.5332	NA	NA
906.3349	NA	NA
906.3445	NA	NA
906.3768	NA	NA
906.3960	NA	NA
906.5320	NA	NA
906.5457	NA	NA
906.9793	NA	NA
907.7962	NA	NA
907.8063	NA	NA
907.8347	NA	NA
907.8524	NA	NA
908.7878	NA	NA
908.8051	NA	NA
908.8393	NA	NA
910.2421	NA	NA
910.2669	NA	NA
910.2824	NA	NA
910.5925	NA	NA
910.6004	NA	NA
910.6715	NA	NA
910.8463	NA	NA
911.4482	NA	NA
911.4650	NA	NA
911.8673	NA	NA
911.8911	NA	NA
912.8196	NA	NA
913.0424	NA	NA
913.0522	NA	NA
913.1724	NA	NA
913.3331	NA	NA
913.6244	NA	NA
914.3103	NA	NA
914.3383	NA	NA
915.0369	NA	NA
915.0605	NA	NA
915.2011	NA	NA
916.3923	NA	NA
916.4443	NA	NA
916.4541	NA	NA
916.4739	NA	NA
916.7345	NA	NA
917.9859	NA	NA
917.9979	NA	NA
919.6225	NA	NA
920.6053	NA	NA
920.6161	NA	NA
920.6318	NA	NA
920.7320	NA	NA
920.7740	NA	NA
920.9049	NA	NA
921.5111	NA	NA
921.8992	NA	NA
922.2577	NA	NA
922.2870	NA	NA
922.5466	NA	NA
923.4202	NA	NA
923.9831	NA	NA
924.3943	NA	NA
925.1078	NA	NA
925.1357	NA	NA
