spike times	Vanne1 ON	Vanne1 OFF
29.2963	900.0346	902.0345
29.3107	NA	NA
63.1095	NA	NA
63.1149	NA	NA
63.1208	NA	NA
63.1415	NA	NA
88.8321	NA	NA
88.8379	NA	NA
88.8446	NA	NA
88.8578	NA	NA
88.8800	NA	NA
100.0897	NA	NA
100.0958	NA	NA
100.1023	NA	NA
164.5372	NA	NA
164.5433	NA	NA
164.5494	NA	NA
164.5572	NA	NA
164.5656	NA	NA
164.5835	NA	NA
164.5940	NA	NA
250.4778	NA	NA
250.4826	NA	NA
250.4897	NA	NA
250.4993	NA	NA
360.7451	NA	NA
360.7487	NA	NA
360.7542	NA	NA
360.7598	NA	NA
360.7661	NA	NA
360.7743	NA	NA
420.7298	NA	NA
420.7342	NA	NA
420.7387	NA	NA
420.7427	NA	NA
420.7467	NA	NA
420.7541	NA	NA
422.3956	NA	NA
422.3995	NA	NA
422.4038	NA	NA
422.4086	NA	NA
422.4161	NA	NA
424.7753	NA	NA
424.7795	NA	NA
424.7836	NA	NA
424.7885	NA	NA
424.7937	NA	NA
424.7998	NA	NA
424.8129	NA	NA
433.1460	NA	NA
433.1500	NA	NA
433.1539	NA	NA
433.1584	NA	NA
433.1633	NA	NA
433.1693	NA	NA
433.1755	NA	NA
573.0422	NA	NA
573.0470	NA	NA
573.0520	NA	NA
573.0577	NA	NA
573.0677	NA	NA
619.5722	NA	NA
619.5762	NA	NA
619.5801	NA	NA
619.5844	NA	NA
619.5901	NA	NA
619.5978	NA	NA
619.6053	NA	NA
619.6137	NA	NA
619.7577	NA	NA
619.7620	NA	NA
619.7666	NA	NA
619.7713	NA	NA
619.7784	NA	NA
856.8982	NA	NA
856.9021	NA	NA
856.9063	NA	NA
856.9106	NA	NA
856.9156	NA	NA
856.9239	NA	NA
856.9337	NA	NA
900.0639	NA	NA
900.0678	NA	NA
900.0718	NA	NA
900.0758	NA	NA
900.0804	NA	NA
900.0858	NA	NA
900.0906	NA	NA
900.0968	NA	NA
900.1030	NA	NA
900.1103	NA	NA
900.1174	NA	NA
900.1246	NA	NA
900.1362	NA	NA
900.1466	NA	NA
900.1546	NA	NA
900.1634	NA	NA
900.1755	NA	NA
900.1957	NA	NA
900.2111	NA	NA
900.2293	NA	NA
900.2382	NA	NA
900.2568	NA	NA
900.2827	NA	NA
900.2980	NA	NA
900.3310	NA	NA
900.3446	NA	NA
900.3569	NA	NA
900.3835	NA	NA
900.4325	NA	NA
900.4508	NA	NA
900.4644	NA	NA
900.5078	NA	NA
900.5324	NA	NA
900.5729	NA	NA
900.5822	NA	NA
900.6032	NA	NA
900.6991	NA	NA
900.7308	NA	NA
900.7469	NA	NA
900.7553	NA	NA
900.7674	NA	NA
900.8405	NA	NA
900.8555	NA	NA
900.8802	NA	NA
900.9315	NA	NA
900.9756	NA	NA
901.0224	NA	NA
901.0639	NA	NA
901.0736	NA	NA
901.1152	NA	NA
901.1811	NA	NA
901.1937	NA	NA
901.2242	NA	NA
901.2703	NA	NA
901.2835	NA	NA
901.3664	NA	NA
901.4345	NA	NA
901.4926	NA	NA
901.5052	NA	NA
901.5613	NA	NA
901.5732	NA	NA
901.5812	NA	NA
901.6381	NA	NA
901.6483	NA	NA
901.6747	NA	NA
901.7555	NA	NA
901.7707	NA	NA
901.7783	NA	NA
901.8324	NA	NA
901.8549	NA	NA
901.9335	NA	NA
901.9426	NA	NA
901.9743	NA	NA
901.9875	NA	NA
903.1244	NA	NA
903.1303	NA	NA
903.1359	NA	NA
903.1413	NA	NA
903.1502	NA	NA
905.3209	NA	NA
905.3257	NA	NA
905.3314	NA	NA
905.3394	NA	NA
905.3459	NA	NA
905.9734	NA	NA
905.9790	NA	NA
905.9836	NA	NA
905.9905	NA	NA
905.9977	NA	NA
907.3322	NA	NA
907.3366	NA	NA
907.3414	NA	NA
907.3473	NA	NA
907.3538	NA	NA
908.1602	NA	NA
908.1651	NA	NA
908.1699	NA	NA
908.1756	NA	NA
908.1806	NA	NA
908.3895	NA	NA
908.3953	NA	NA
908.4000	NA	NA
908.4085	NA	NA
908.4152	NA	NA
909.3629	NA	NA
909.3674	NA	NA
909.3725	NA	NA
909.3781	NA	NA
909.3848	NA	NA
910.1437	NA	NA
910.1482	NA	NA
910.1528	NA	NA
910.1579	NA	NA
910.1633	NA	NA
910.1690	NA	NA
910.6415	NA	NA
910.6460	NA	NA
910.6516	NA	NA
910.6572	NA	NA
910.6629	NA	NA
910.8798	NA	NA
910.8849	NA	NA
910.8892	NA	NA
910.8938	NA	NA
910.9006	NA	NA
911.2703	NA	NA
911.2751	NA	NA
911.2800	NA	NA
911.2857	NA	NA
911.2969	NA	NA
911.8852	NA	NA
911.8897	NA	NA
911.8937	NA	NA
911.8989	NA	NA
911.9058	NA	NA
911.9133	NA	NA
912.1692	NA	NA
912.1738	NA	NA
912.1782	NA	NA
912.1834	NA	NA
912.1907	NA	NA
912.6231	NA	NA
912.6274	NA	NA
912.6324	NA	NA
912.6373	NA	NA
912.6436	NA	NA
913.1533	NA	NA
913.1580	NA	NA
913.1635	NA	NA
913.1699	NA	NA
913.1773	NA	NA
913.8328	NA	NA
913.8373	NA	NA
913.8419	NA	NA
913.8485	NA	NA
913.8570	NA	NA
915.7925	NA	NA
915.7970	NA	NA
915.8015	NA	NA
915.8067	NA	NA
915.8122	NA	NA
915.8202	NA	NA
917.1612	NA	NA
917.1661	NA	NA
917.1703	NA	NA
917.1747	NA	NA
917.1810	NA	NA
917.1901	NA	NA
917.1993	NA	NA
917.4632	NA	NA
917.4674	NA	NA
917.4719	NA	NA
917.4770	NA	NA
917.4829	NA	NA
917.4893	NA	NA
917.8399	NA	NA
917.8445	NA	NA
917.8492	NA	NA
917.8548	NA	NA
917.8601	NA	NA
921.5643	NA	NA
921.5685	NA	NA
921.5727	NA	NA
921.5776	NA	NA
921.5839	NA	NA
921.5929	NA	NA
924.9008	NA	NA
924.9060	NA	NA
924.9104	NA	NA
924.9151	NA	NA
924.9206	NA	NA
924.9307	NA	NA
926.0095	NA	NA
926.0143	NA	NA
926.0197	NA	NA
926.0257	NA	NA
926.0366	NA	NA
926.0548	NA	NA
926.8813	NA	NA
926.8858	NA	NA
926.8904	NA	NA
926.8961	NA	NA
926.9093	NA	NA
926.9246	NA	NA
929.3435	NA	NA
929.3486	NA	NA
929.3545	NA	NA
929.3611	NA	NA
929.3662	NA	NA
931.2056	NA	NA
931.2101	NA	NA
931.2150	NA	NA
931.2200	NA	NA
931.2276	NA	NA
932.1053	NA	NA
932.1098	NA	NA
932.1143	NA	NA
932.1187	NA	NA
932.1283	NA	NA
933.0041	NA	NA
933.0095	NA	NA
933.0146	NA	NA
933.0198	NA	NA
933.0292	NA	NA
934.3013	NA	NA
934.3063	NA	NA
934.3119	NA	NA
934.3186	NA	NA
934.3262	NA	NA
936.1132	NA	NA
936.1181	NA	NA
936.1240	NA	NA
936.1289	NA	NA
936.1347	NA	NA
936.1414	NA	NA
937.2986	NA	NA
937.3040	NA	NA
937.3089	NA	NA
937.3146	NA	NA
937.3231	NA	NA
939.2310	NA	NA
939.2355	NA	NA
939.2402	NA	NA
939.2447	NA	NA
939.2507	NA	NA
939.2564	NA	NA
939.2642	NA	NA
940.5641	NA	NA
940.5689	NA	NA
940.5731	NA	NA
940.5785	NA	NA
940.5863	NA	NA
940.5936	NA	NA
942.7585	NA	NA
942.7633	NA	NA
942.7677	NA	NA
942.7726	NA	NA
942.7792	NA	NA
942.7879	NA	NA
944.7415	NA	NA
944.7460	NA	NA
944.7501	NA	NA
944.7545	NA	NA
944.7604	NA	NA
944.7671	NA	NA
945.3465	NA	NA
945.3512	NA	NA
945.3557	NA	NA
945.3605	NA	NA
945.3677	NA	NA
947.7051	NA	NA
947.7100	NA	NA
947.7143	NA	NA
947.7196	NA	NA
947.7286	NA	NA
947.7372	NA	NA
948.3052	NA	NA
948.3093	NA	NA
948.3133	NA	NA
948.3179	NA	NA
948.3240	NA	NA
949.2306	NA	NA
949.2348	NA	NA
949.2392	NA	NA
949.2442	NA	NA
949.2492	NA	NA
949.2582	NA	NA
949.2653	NA	NA
950.3199	NA	NA
950.3247	NA	NA
950.3295	NA	NA
950.3358	NA	NA
950.3430	NA	NA
954.9288	NA	NA
954.9331	NA	NA
954.9375	NA	NA
954.9434	NA	NA
954.9493	NA	NA
954.9572	NA	NA
958.1593	NA	NA
958.1639	NA	NA
958.1688	NA	NA
958.1737	NA	NA
958.1782	NA	NA
