spike times	Vanne1 ON	Vanne1 OFF
14.8989	30.0202	30.2203
14.9175	90.2218	90.2420
18.1804	150.2426	152.2428
18.1892	212.2444	214.2447
18.2678	NA	NA
18.2868	NA	NA
18.2994	NA	NA
18.3134	NA	NA
18.3252	NA	NA
25.6747	NA	NA
25.6873	NA	NA
25.7066	NA	NA
25.7308	NA	NA
30.0452	NA	NA
30.0526	NA	NA
30.0577	NA	NA
30.0625	NA	NA
30.0666	NA	NA
30.0707	NA	NA
30.0748	NA	NA
30.0791	NA	NA
30.0831	NA	NA
30.0870	NA	NA
30.0915	NA	NA
30.0967	NA	NA
30.1020	NA	NA
30.1080	NA	NA
30.1166	NA	NA
30.1429	NA	NA
30.1558	NA	NA
30.1724	NA	NA
30.1832	NA	NA
30.1953	NA	NA
30.2444	NA	NA
30.3786	NA	NA
30.6589	NA	NA
31.0016	NA	NA
31.1480	NA	NA
31.1627	NA	NA
31.3091	NA	NA
31.5731	NA	NA
32.1056	NA	NA
32.2463	NA	NA
32.2651	NA	NA
32.2844	NA	NA
32.3020	NA	NA
32.6147	NA	NA
32.7322	NA	NA
33.1761	NA	NA
34.1603	NA	NA
34.1676	NA	NA
34.1789	NA	NA
34.1877	NA	NA
34.9755	NA	NA
34.9839	NA	NA
34.9935	NA	NA
35.0913	NA	NA
36.7885	NA	NA
36.7971	NA	NA
36.8084	NA	NA
36.8221	NA	NA
36.8318	NA	NA
37.2116	NA	NA
37.4592	NA	NA
38.0344	NA	NA
38.0404	NA	NA
38.0480	NA	NA
38.0725	NA	NA
38.0819	NA	NA
38.8096	NA	NA
38.8321	NA	NA
39.1596	NA	NA
39.1854	NA	NA
39.2170	NA	NA
39.4133	NA	NA
39.4252	NA	NA
40.1756	NA	NA
40.1925	NA	NA
40.4544	NA	NA
40.4632	NA	NA
40.4741	NA	NA
40.4875	NA	NA
40.7925	NA	NA
40.8015	NA	NA
40.8113	NA	NA
40.9279	NA	NA
40.9469	NA	NA
41.1398	NA	NA
41.1505	NA	NA
42.0838	NA	NA
42.4789	NA	NA
42.5029	NA	NA
42.5272	NA	NA
42.6718	NA	NA
43.2804	NA	NA
43.2943	NA	NA
43.3027	NA	NA
43.3137	NA	NA
43.3375	NA	NA
44.5620	NA	NA
44.5817	NA	NA
44.5912	NA	NA
44.7299	NA	NA
44.7523	NA	NA
44.7671	NA	NA
45.6070	NA	NA
45.6156	NA	NA
45.8241	NA	NA
46.2699	NA	NA
46.2764	NA	NA
46.2853	NA	NA
46.3094	NA	NA
46.6122	NA	NA
46.6249	NA	NA
46.8050	NA	NA
46.8484	NA	NA
46.9153	NA	NA
47.0041	NA	NA
48.5168	NA	NA
48.5361	NA	NA
48.5432	NA	NA
48.5566	NA	NA
50.8510	NA	NA
50.8623	NA	NA
50.8847	NA	NA
50.8963	NA	NA
50.9852	NA	NA
51.2458	NA	NA
51.2700	NA	NA
51.2927	NA	NA
51.5717	NA	NA
53.7652	NA	NA
53.7718	NA	NA
56.0937	NA	NA
56.1224	NA	NA
56.1310	NA	NA
56.1437	NA	NA
66.7779	NA	NA
66.8163	NA	NA
66.8276	NA	NA
66.8763	NA	NA
68.4933	NA	NA
68.5069	NA	NA
68.5232	NA	NA
68.5419	NA	NA
68.5533	NA	NA
68.6261	NA	NA
68.6462	NA	NA
69.5075	NA	NA
69.7582	NA	NA
69.8095	NA	NA
69.8294	NA	NA
71.3817	NA	NA
71.3884	NA	NA
72.4021	NA	NA
72.4116	NA	NA
72.4623	NA	NA
76.5890	NA	NA
76.6136	NA	NA
78.8557	NA	NA
82.0259	NA	NA
82.0419	NA	NA
82.0815	NA	NA
82.1065	NA	NA
82.2174	NA	NA
83.7865	NA	NA
83.8065	NA	NA
84.7089	NA	NA
84.7157	NA	NA
84.7290	NA	NA
84.7375	NA	NA
84.7507	NA	NA
84.8650	NA	NA
85.0254	NA	NA
90.2497	NA	NA
90.2543	NA	NA
90.2589	NA	NA
90.2635	NA	NA
90.2678	NA	NA
90.2722	NA	NA
90.2765	NA	NA
90.2808	NA	NA
90.2855	NA	NA
90.2903	NA	NA
90.2958	NA	NA
90.3010	NA	NA
90.3090	NA	NA
90.3346	NA	NA
90.4413	NA	NA
90.4953	NA	NA
90.7369	NA	NA
90.9492	NA	NA
91.0707	NA	NA
91.3981	NA	NA
92.2155	NA	NA
92.2260	NA	NA
94.8886	NA	NA
94.9005	NA	NA
94.9511	NA	NA
95.0590	NA	NA
95.1687	NA	NA
95.3568	NA	NA
95.3686	NA	NA
95.5146	NA	NA
95.5379	NA	NA
95.8748	NA	NA
97.5395	NA	NA
97.5567	NA	NA
97.7845	NA	NA
97.9817	NA	NA
99.5434	NA	NA
99.5891	NA	NA
99.6013	NA	NA
99.6848	NA	NA
99.7847	NA	NA
100.0287	NA	NA
100.9241	NA	NA
103.1607	NA	NA
103.1684	NA	NA
103.1823	NA	NA
103.5673	NA	NA
103.5850	NA	NA
103.5968	NA	NA
103.6121	NA	NA
103.9940	NA	NA
104.0121	NA	NA
104.2895	NA	NA
105.2074	NA	NA
105.2150	NA	NA
105.2222	NA	NA
105.2310	NA	NA
105.3400	NA	NA
106.0988	NA	NA
106.1339	NA	NA
106.1540	NA	NA
106.2804	NA	NA
106.3098	NA	NA
106.3189	NA	NA
106.3323	NA	NA
112.6739	NA	NA
112.6890	NA	NA
112.7084	NA	NA
112.7707	NA	NA
112.9290	NA	NA
120.4303	NA	NA
120.4440	NA	NA
120.4586	NA	NA
120.4722	NA	NA
120.4871	NA	NA
120.5171	NA	NA
120.5347	NA	NA
120.9834	NA	NA
121.0093	NA	NA
121.1650	NA	NA
121.7792	NA	NA
122.9226	NA	NA
122.9460	NA	NA
122.9644	NA	NA
122.9980	NA	NA
123.2929	NA	NA
123.3047	NA	NA
123.3178	NA	NA
125.6079	NA	NA
125.6228	NA	NA
127.0780	NA	NA
127.0866	NA	NA
127.0973	NA	NA
127.2590	NA	NA
134.4216	NA	NA
134.4498	NA	NA
134.4599	NA	NA
134.4683	NA	NA
134.4793	NA	NA
142.7034	NA	NA
142.7215	NA	NA
142.7388	NA	NA
146.3525	NA	NA
146.3680	NA	NA
146.3854	NA	NA
146.3942	NA	NA
146.4212	NA	NA
147.6107	NA	NA
147.6343	NA	NA
147.6679	NA	NA
147.8633	NA	NA
147.8714	NA	NA
147.9079	NA	NA
150.2697	NA	NA
150.2743	NA	NA
150.2787	NA	NA
150.2831	NA	NA
150.2870	NA	NA
150.2911	NA	NA
150.2953	NA	NA
150.2992	NA	NA
150.3033	NA	NA
150.3072	NA	NA
150.3113	NA	NA
150.3156	NA	NA
150.3200	NA	NA
150.3249	NA	NA
150.3308	NA	NA
150.3441	NA	NA
150.3735	NA	NA
150.3820	NA	NA
150.4035	NA	NA
150.4381	NA	NA
150.4627	NA	NA
150.4706	NA	NA
150.4876	NA	NA
150.4985	NA	NA
150.5083	NA	NA
150.5593	NA	NA
150.5698	NA	NA
150.6269	NA	NA
150.6382	NA	NA
150.6849	NA	NA
150.6960	NA	NA
150.7087	NA	NA
150.7422	NA	NA
150.7583	NA	NA
150.7835	NA	NA
150.8692	NA	NA
150.8900	NA	NA
150.9514	NA	NA
150.9597	NA	NA
150.9769	NA	NA
151.0337	NA	NA
151.0811	NA	NA
151.1049	NA	NA
151.1502	NA	NA
151.1632	NA	NA
151.1747	NA	NA
151.1960	NA	NA
151.2318	NA	NA
151.2791	NA	NA
151.3114	NA	NA
151.3526	NA	NA
151.3779	NA	NA
151.4354	NA	NA
151.4663	NA	NA
151.5022	NA	NA
